Designator,Quantity,Value,Footprint,LCSC Part #
"C1, C4, C8, ",3,10uF,0805,C15850
"C2, C3, C6, C7, C9, C10, C11, C12, C13, C14, ",10,100nF,0402,C1525
"C5, ",1,10nF,0402,C15195
"C15, C16, ",2,2.2uF,0603,C23630
"C17, C18, ",2,12pF,0402,C1547
"D1, ",1,B5819W,SOD-123,C8598
"D2, ",1,power_LED,0603,C2286
"D3, ",1,user_LED,0603,C72043
"FB1, FB2, ",2,100R @ 100MHz,0805,C1015
"HSE1, ",1,16MHz,SMD-3225_4P,C13738
"R1, R3, ",2,2k2,0603,C4190
"R2, R4, ",2,10k,0402,C25744
"R5, ",1,100,0402,C25076
"U1, ",1,AMS1117-3.3,SOT-223,C6186
"U2, ",1,STM32F405RGT6,LQFP-64_10.0x10.0x0.5P,C15742
